seccion_mm2,calibre,cu_60c,cu_75c,cu_90c,al_60c,al_75c,al_90c
8.37,8 AWG,,57,66,,,
13.3,6 AWG,,76,89,,59,69
21.2,4 AWG,,101,117,,78,91
33.6,2 AWG,,135,158,,106,123
53.5,1/0 AWG,,183,214,,143,167
67.4,2/0 AWG,,212,247,,165,193
85.0,3/0 AWG,,245,287,,192,224
107.2,4/0 AWG,,287,335,,224,262
127,250 MCM,,320,374,,251,292
152,300 MCM,,359,419,,282,328
177,350 MCM,,397,464,,312,364
203,400 MCM,,430,503,,339,395
253,500 MCM,,496,580,,392,458
304,600 MCM,,553,647,,440,514
380,750 MCM,,638,747,,512,598
507,1000 MCM,,748,879,,612,716
