calibre,seccion_mm2,area_conductor_tierra,diametro_mm,numero_hilos
14 AWG,2.08,2.68,1.85,7
12 AWG,3.31,4.25,2.32,7
10 AWG,5.26,6.76,2.95,7
8 AWG,8.37,10.76,3.71,7
6 AWG,13.3,17.09,4.67,7
4 AWG,21.2,27.19,5.89,7
2 AWG,33.6,43.23,7.42,7
1/0 AWG,53.49,70.41,9.45,19
2/0 AWG,67.43,88.74,10.62,19
3/0 AWG,85.01,111.9,11.94,19
4/0 AWG,107.2,141.1,13.41,19
250 MCM,127,168,14.61,37
300 MCM,152,201,16,37
350 MCM,177,235,17.3,37
400 MCM,203,268,18.49,37
500 MCM,253,336,20.65,37
600 MCM,304,404,22.68,61
750 MCM,380,505,25.35,61
1000 MCM,507,673,29.26,61
