calibre,seccion_mm2,diam_tw_thw,area_tw_thw,diam_rhh_rhw,area_rhh_rhw,diam_xhhw,area_xhhw
14 AWG,2.08,3.3778,8.968,4.902,18.9,3.378,8.968
12 AWG,3.31,3.861,11.68,5.385,22.77,3.861,11.68
10 AWG,5.26,4.47,15.68,5.994,28.19,4.47,15.68
8 AWG,8.37,5.994,28.19,8.28,53.87,5.994,28.19
6 AWG,13.3,7.722,46.84,9.246,67.16,6.96,38.06
4 AWG,21.2,8.941,62.77,10.46,86,8.179,52.52
2 AWG,33.6,10.46,86,11.99,112.9,8.89,73.94
1/0 AWG,53.49,13.51,143.4,15.8,196.1,12.24,117.7
2/0 AWG,67.43,14.68,169.3,16.97,226.1,13.41,141.3
3/0 AWG,85.01,16,201.1,18.29,262.7,14.73,170.5
4/0 AWG,107.2,17.48,239.9,19.76,306.7,16.21,206.3
250 MCM,127,19.43,296.5,22.73,405.9,17.91,251.9
300 MCM,152,20.83,340.7,24.13,457.3,19.3,292.6
350 MCM,177,22.12,384.4,25.43,507.7,20.6,333.3
400 MCM,203,23.32,427,26.62,556.5,21.79,373
500 MCM,253,25.48,509.7,28.78,650.5,23.95,450.6
600 MCM,304,28.27,627.7,31.57,782.9,26.75,561.9
750 MCM,380,30.94,751.7,34.24,920.8,29.41,679.5
1000 MCM,507,34.85,953.8,38.15,1143,33.32,872.2
