calibre,seccion_mm2,reactancia_al,reactancia_acero,res_cu_pvc,res_cu_al,res_cu_acero,res_al_pvc,res_al_al,res_al_acero
14 AWG,2.08,0.19,0.24,10.2,10.2,10.2,,,
12 AWG,3.31,0.177,0.223,6.6,6.6,6.6,,,
10 AWG,5.26,0.164,0.207,3.9,3.9,3.9,,,
8 AWG,8.37,0.171,0.213,2.56,2.56,2.56,,,
6 AWG,13.3,0.167,0.21,1.61,1.61,1.61,2.66,2.66,2.66
4 AWG,21.2,0.157,0.197,1.02,1.02,1.02,1.67,1.67,1.67
2 AWG,33.6,0.148,0.187,0.62,0.66,0.66,1.05,1.05,1.05
1/0 AWG,53.49,0.144,0.18,0.39,0.43,0.39,0.66,0.69,0.66
2/0 AWG,67.43,0.141,0.177,0.33,0.33,0.33,0.52,0.52,0.52
3/0 AWG,85.01,0.138,0.171,0.253,0.269,0.259,0.43,0.43,0.43
4/0 AWG,107.2,0.135,0.167,0.203,0.22,0.207,0.33,0.36,0.33
250 MCM,127,0.135,0.171,0.171,0.187,0.177,0.279,0.295,0.282
300 MCM,152,0.135,0.167,0.144,0.161,0.148,0.233,0.249,0.236
350 MCM,177,0.131,0.164,0.125,0.141,0.128,0.2,0.217,0.207
400 MCM,203,0.131,0.161,0.108,0.125,0.115,0.177,0.194,0.18
500 MCM,253,0.128,0.157,0.089,0.105,0.095,0.141,0.157,0.148
600 MCM,304,0.128,0.157,0.075,0.092,0.082,0.118,0.135,0.125
750 MCM,380,0.125,0.157,0.062,0.079,0.069,0.095,0.112,0.102
1000 MCM,507,0.121,0.151,0.049,0.062,0.059,0.075,0.089,0.082
